famille,symbole,candidats,trades,R_moyen,IC95,taux_reussite,drawdown_R,taux_ambigu,R_cout_majore,bat_hasard,p_value,portes_franchies,gate,echecs,q_value,survit_correction
seance_derive,NAS100,1033,1029,-0.1871,"(-0.2707, -0.1025)",0.309,-201.83,0.0253,-0.2423,0.155,0.845771144278607,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
opening_range,NAS100,1010,932,0.0933,"(0.0014, 0.1849)",0.383,-22.987,0.0054,0.0751,0.99,0.014925373134328358,5,True,,0.2208955223880597,False
fin_de_mois,NAS100,169,169,-0.1515,"(-0.3582, 0.0616)",0.3195,-30.294,0.0118,-0.2065,0.235,0.7661691542288557,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
cassure[aucun],NAS100,871,778,0.0966,"(-0.0036, 0.1971)",0.3792,-15.431,0.0051,0.078,0.995,0.009950248756218905,4,False,IC_exclut_0,0.18407960199004975,False
cassure[adx],NAS100,440,404,-0.0168,"(-0.1518, 0.1206)",0.3416,-21.832,0.0074,-0.0348,0.605,0.39800995024875624,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8879133743049459,False
cassure[compression],NAS100,148,146,0.113,"(-0.1202, 0.3589)",0.3904,-18.602,0.0,0.0839,0.885,0.11940298507462686,3,False,"IC_exclut_0, bat_hasard",0.5522388059701493,False
cassure[spread_bas],NAS100,693,618,0.0751,"(-0.0393, 0.188)",0.3706,-19.404,0.0049,0.0587,0.95,0.05472636815920398,4,False,IC_exclut_0,0.40497512437810945,False
repli_de_tendance,NAS100,407,387,-0.0183,"(-0.158, 0.1196)",0.3488,-32.146,0.0,-0.0362,0.46,0.5422885572139303,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9203980099502487,False
retour_vwap,NAS100,670,640,-0.0798,"(-0.1875, 0.0278)",0.3219,-71.676,0.0047,-0.0978,0.145,0.8557213930348259,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
gap_ouverture,NAS100,213,213,-0.081,"(-0.2709, 0.1115)",0.338,-22.17,0.0094,-0.1247,0.66,0.34328358208955223,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8194511314395763,False
fade_range_asiatique,NAS100,1008,778,-0.0456,"(-0.1472, 0.055)",0.3548,-55.374,0.0141,-0.0999,0.965,0.03980099502487562,2,False,"R_positif, IC_exclut_0, robuste_au_cout",0.3681592039800995,False
smc_choch,NAS100,282,277,-0.1341,"(-0.2963, 0.0288)",0.3141,-55.002,0.0144,-0.1629,0.21,0.7910447761194029,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
smc_bos,NAS100,353,348,0.1293,"(-0.0218, 0.2848)",0.3908,-18.489,0.0057,0.1082,0.975,0.029850746268656716,4,False,IC_exclut_0,0.3681592039800995,False
smc_balayage,NAS100,817,666,-0.1194,"(-0.2252, -0.0128)",0.3108,-86.4,0.012,-0.1384,0.02,0.9800995024875622,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
smc_fvg,NAS100,1354,991,-0.0687,"(-0.1553, 0.0197)",0.336,-84.678,0.0081,-0.1024,0.435,0.5671641791044776,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9277611940298507,False
microstructure_choc,NAS100,13,12,-0.2896,"(-1.0297, 0.4603)",0.25,-3.259,0.0,-0.3094,0.375,0.6268656716417911,0,False,"echantillon_suffisant, R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9277611940298507,False
regime_volatilite,NAS100,1650,1410,-0.0669,"(-0.1392, 0.0069)",0.334,-96.435,0.0106,-0.0983,0.505,0.4975124378109453,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9028666192845297,False
momentum_multijour,NAS100,316,316,-0.1389,"(-0.2863, 0.0135)",0.2975,-51.539,0.0032,-0.1526,0.035,0.9651741293532339,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
saisonnalite_intraday,NAS100,5151,2215,-0.0647,"(-0.1219, -0.0055)",0.3314,-153.35,0.0068,-0.088,0.34,0.6616915422885572,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9487179487179487,False
ensemble,NAS100,285,280,-0.0222,"(-0.1895, 0.1446)",0.3464,-22.863,0.0071,-0.0454,0.595,0.4079601990049751,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8879133743049459,False
momentum_intraseance,NAS100,827,812,-0.0699,"(-0.1661, 0.0282)",0.3387,-80.07,0.0012,-0.1032,0.675,0.3283582089552239,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8194511314395763,False
drift_overnight[achat],NAS100,1001,982,-0.0043,"(-0.0946, 0.0829)",0.3615,-66.536,0.0031,-0.0376,0.515,0.48756218905472637,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9028666192845297,False
drift_overnight[vente],NAS100,1001,991,-0.188,"(-0.2722, -0.1014)",0.2957,-202.734,0.002,-0.2215,0.51,0.4925373134328358,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9028666192845297,False
cassure_ratee,NAS100,1073,953,-0.1,"(-0.1893, -0.0098)",0.3263,-101.781,0.0105,-0.1344,0.335,0.6666666666666666,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9487179487179487,False
